asset_id,asset_name,asset_type,workbook_name,project_name,owner_name,owner_id,last_updated,last_viewed,views_last_30d,total_views,refresh_status,status,web_url,last_synced_at
c61daf46-75d3-4c98-8460-f9cd37e5e690,Superstore,workbook,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:56Z,,,,unknown,active,https://prod-uk-a.online.tableau.com/#/site/joncalzadaelorriaga-d3b8f17937/workbooks/3028119,2026-04-09T15:49:25.753019+00:00
8a6fc9f6-dba1-467c-a3dd-1cfda40eafc8,World Indicators,workbook,World Indicators,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:58Z,,,,unknown,active,https://prod-uk-a.online.tableau.com/#/site/joncalzadaelorriaga-d3b8f17937/workbooks/3028120,2026-04-09T15:49:25.753019+00:00
37c83688-5ab9-4346-8e46-aa38bb3b9580,Overview,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Overview,2026-04-09T15:49:25.753304+00:00
ad5b86c2-fd36-42e0-bdb1-07418d8d46ed,Product,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Product,2026-04-09T15:49:25.753304+00:00
ff8b35e4-704f-43c3-9f58-adc6c6feb390,Customers,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Customers,2026-04-09T15:49:25.753304+00:00
59ae1c49-955e-402c-8235-7aef53d38ea9,Shipping,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Shipping,2026-04-09T15:49:25.753304+00:00
b1c74807-7f75-495b-b525-ba3e5460cc0b,Performance,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Performance,2026-04-09T15:49:25.753304+00:00
cf33f827-718a-4bd0-aedb-dbf2a38b55d9,Commission Model,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/CommissionModel,2026-04-09T15:49:25.753304+00:00
fde312a2-32a5-4c5a-ba17-de58d0d8d0fa,Order Details,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/OrderDetails,2026-04-09T15:49:25.753304+00:00
02e836ba-c315-4730-af83-2fa815bc098b,Forecast,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/Forecast,2026-04-09T15:49:25.753304+00:00
e539f75e-61cc-4f0b-886c-01e5348e1aca,What If Forecast,view,Superstore,Samples,tol.admin.api.broker.service.usera@tableau.com,ce3283b6-3cfe-49e0-975a-b0f7783415a5,2026-04-08T16:20:55Z,,,,unknown,active,Superstore/sheets/WhatIfForecast,2026-04-09T15:49:25.753304+00:00
